step,value,tag
1200,300.0,rollout/ep_len_mean
2400,300.0,rollout/ep_len_mean
3600,300.0,rollout/ep_len_mean
4800,300.0,rollout/ep_len_mean
6000,300.0,rollout/ep_len_mean
7200,300.0,rollout/ep_len_mean
8400,300.0,rollout/ep_len_mean
9600,300.0,rollout/ep_len_mean
10800,300.0,rollout/ep_len_mean
12000,300.0,rollout/ep_len_mean
13200,300.0,rollout/ep_len_mean
14400,300.0,rollout/ep_len_mean
15600,300.0,rollout/ep_len_mean
16800,300.0,rollout/ep_len_mean
18000,300.0,rollout/ep_len_mean
19200,300.0,rollout/ep_len_mean
20400,300.0,rollout/ep_len_mean
21600,300.0,rollout/ep_len_mean
22800,300.0,rollout/ep_len_mean
24000,300.0,rollout/ep_len_mean
25200,300.0,rollout/ep_len_mean
26400,300.0,rollout/ep_len_mean
27600,300.0,rollout/ep_len_mean
28800,300.0,rollout/ep_len_mean
30000,300.0,rollout/ep_len_mean
31200,300.0,rollout/ep_len_mean
32400,300.0,rollout/ep_len_mean
33600,300.0,rollout/ep_len_mean
34800,300.0,rollout/ep_len_mean
36000,300.0,rollout/ep_len_mean
37200,300.0,rollout/ep_len_mean
38400,300.0,rollout/ep_len_mean
39600,300.0,rollout/ep_len_mean
40800,300.0,rollout/ep_len_mean
42000,300.0,rollout/ep_len_mean
43200,300.0,rollout/ep_len_mean
44400,300.0,rollout/ep_len_mean
45600,300.0,rollout/ep_len_mean
46800,300.0,rollout/ep_len_mean
48000,300.0,rollout/ep_len_mean
49200,300.0,rollout/ep_len_mean
50400,300.0,rollout/ep_len_mean
51600,300.0,rollout/ep_len_mean
52800,300.0,rollout/ep_len_mean
54000,300.0,rollout/ep_len_mean
55200,300.0,rollout/ep_len_mean
56400,300.0,rollout/ep_len_mean
57600,300.0,rollout/ep_len_mean
58800,300.0,rollout/ep_len_mean
60000,300.0,rollout/ep_len_mean
61200,300.0,rollout/ep_len_mean
62400,300.0,rollout/ep_len_mean
63600,300.0,rollout/ep_len_mean
64800,300.0,rollout/ep_len_mean
66000,300.0,rollout/ep_len_mean
67200,300.0,rollout/ep_len_mean
68400,300.0,rollout/ep_len_mean
69600,300.0,rollout/ep_len_mean
70800,300.0,rollout/ep_len_mean
72000,300.0,rollout/ep_len_mean
73200,300.0,rollout/ep_len_mean
74400,300.0,rollout/ep_len_mean
75600,300.0,rollout/ep_len_mean
76800,300.0,rollout/ep_len_mean
78000,300.0,rollout/ep_len_mean
79200,300.0,rollout/ep_len_mean
80400,300.0,rollout/ep_len_mean
81600,300.0,rollout/ep_len_mean
82800,300.0,rollout/ep_len_mean
84000,300.0,rollout/ep_len_mean
85200,300.0,rollout/ep_len_mean
86400,300.0,rollout/ep_len_mean
87600,300.0,rollout/ep_len_mean
88800,300.0,rollout/ep_len_mean
90000,300.0,rollout/ep_len_mean
91200,300.0,rollout/ep_len_mean
92400,300.0,rollout/ep_len_mean
93600,300.0,rollout/ep_len_mean
94800,300.0,rollout/ep_len_mean
96000,300.0,rollout/ep_len_mean
97200,300.0,rollout/ep_len_mean
98400,300.0,rollout/ep_len_mean
99600,300.0,rollout/ep_len_mean
100800,300.0,rollout/ep_len_mean
102000,300.0,rollout/ep_len_mean
103200,300.0,rollout/ep_len_mean
104400,300.0,rollout/ep_len_mean
105600,300.0,rollout/ep_len_mean
106800,300.0,rollout/ep_len_mean
108000,300.0,rollout/ep_len_mean
109200,300.0,rollout/ep_len_mean
110400,300.0,rollout/ep_len_mean
111600,300.0,rollout/ep_len_mean
112800,300.0,rollout/ep_len_mean
